Country,Number of Reactors,EAF [%]
ARGENTINA,3,73.6
ARMENIA,1,65.3
BELARUS,2,62.8
BELGIUM,8,81.9
BRAZIL,2,76.6
BULGARIA,6,74.8
CANADA,25,76.3
CHINA,55,88.9
CZECH REPUBLIC,6,80.5
FINLAND,5,91.4
FRANCE,68,74.5
GERMANY,27,83.1
HUNGARY,4,86.4
INDIA,23,68.4
"IRAN, ISLAMIC REPUBLIC OF",1,73.7
ITALY,4,45.8
JAPAN,58,65.4
"KOREA, REPUBLIC OF",27,82.5
LITHUANIA,2,61.3
MEXICO,2,81.7
"NETHERLANDS, KINGDOM OF THE",2,85.1
PAKISTAN,7,71.5
ROMANIA,2,91.1
RUSSIA,42,74.9
SLOVAKIA,7,81.4
SLOVENIA,1,86.5
SOUTH AFRICA,2,72.9
SPAIN,10,85.2
SWEDEN,12,78.2
SWITZERLAND,5,85.5
UKRAINE,17,70.8
UNITED ARAB EMIRATES,3,87.1
UNITED KINGDOM,43,71.7
UNITED STATES OF AMERICA,118,83.2