Country,Number of Reactors,UCF [%]
ARGENTINA,3,74.2
ARMENIA,1,67.4
BELARUS,2,63.3
BELGIUM,8,83.1
BRAZIL,2,79.2
BULGARIA,6,77.4
CANADA,25,77
CHINA,55,89.5
CZECH REPUBLIC,6,81.3
FINLAND,5,92
FRANCE,68,77
GERMANY,27,83.6
HUNGARY,4,86.7
INDIA,23,74.8
"IRAN, ISLAMIC REPUBLIC OF",1,74.3
ITALY,4,67.9
JAPAN,58,65.8
"KOREA, REPUBLIC OF",27,82.9
LITHUANIA,2,71.2
MEXICO,2,82.9
"NETHERLANDS, KINGDOM OF THE",2,85.6
PAKISTAN,7,72.4
ROMANIA,2,92.2
RUSSIA,42,76.5
SLOVAKIA,7,83.9
SLOVENIA,1,87.6
SOUTH AFRICA,2,77.2
SPAIN,10,86.1
SWEDEN,12,79.8
SWITZERLAND,5,86.4
UKRAINE,17,72.9
UNITED ARAB EMIRATES,3,87.6
UNITED KINGDOM,43,72.3
UNITED STATES OF AMERICA,118,83.4